hanzi,pinyin,english
资格,zi1 ge2,"qualifications,"
辞职,ci2 zhi2,"to resign,"
合法,he2 fa3,"lawful, legitimate, legal,"
工厂,gong1 chang3,"factory, CL:家,座[zuò],"
独立,du2 li4,"independent, independence, to stand alone,"
决赛,jue2 sai4,"finals (of a competition),"
存,cun2,"to exist, to deposit, to store, to keep, to survive,"
毛病,mao2 bing4,"fault, defect, shortcomings, ailment, CL:個|个[gè],"
晕,yun1,"confused, dizzy, giddy, to faint, to swoon, to lose consciousness, to pass out,"
公开,gong1 kai1,"public, to publish, to make public,"
观点,guan1 dian3,"point of view, viewpoint, standpoint, CL:個|个[gè],"
说不定,shuo1 bu5 ding4,"can't say for sure, maybe,"
交换,jiao1 huan4,"to exchange, to swap, to switch (telecom), commutative (math), to commute,"
万一,wan4 yi1,"just in case, if by any chance, contingency,"
拥抱,yong1 bao4,"to embrace, to hug,"
发明,fa1 ming2,"to invent, invention, CL:個|个[gè],"
思想,si1 xiang3,"thought, thinking, idea, ideology, CL:個|个[gè],"
组合,zu3 he2,"to assemble, combination, combinatorial,"
针对,zhen1 dui4,"to be directed against, to be aimed at, to counter, in the light of, in connection with,"
具体,ju4 ti3,"concrete, definite, specific,"
领导,ling3 dao3,"lead, leading, to lead, leadership, leader, CL:位,個|个[gè],"
绕,rao4,"to wind, to coil (thread), to rotate around, to spiral, to move around, to go round (an obstacle), to by-pass, to make a detour, to confuse, to perplex,"
驾驶,jia4 shi3,"to pilot (ship, airplane etc), to drive,"
应付,ying4 fu5,"to deal with, to cope,"
财产,cai2 chan3,"property, CL:筆|笔[bǐ],"
吵架,chao3 jia4,"to quarrel, to have a row, quarrel, CL:頓|顿[dùn],"
服装,fu2 zhuang1,"dress, clothing, costume, clothes, CL:身[shēn],"
挡,dang3,"to resist, to obstruct, to hinder, to keep off, to block (a blow), to get in the way of, cover, gear,"
风险,feng1 xian3,"risk, hazard,"
个性,ge4 xing4,"individuality, personality,"
后果,hou4 guo3,"consequences, aftermath,"
避免,bi4 mian3,"to avert, to prevent, to avoid, to refrain from,"
立即,li4 ji2,"immediately,"
保留,bao3 liu2,"to retain, to continue to have, to preserve, to maintain, to reserve, reservations, to hold back (approval or acceptance),"
批,pi1,"to ascertain, to act on, to criticize, to pass on, classifier for batches, lots, military flights, tier (for the ranking of universities and colleges),"
捡,jian3,"to pick up, to collect, to gather,"
持续,chi2 xu4,"to continue, to persist, sustainable, preservation,"
采取,cai3 qu3,"to adopt or carry out (measures, policies, course of action), to take,"
升,sheng1,"variant of 升[shēng],"
合理,he2 li3,"rational, reasonable, fair,"
金属,jin1 shu3,"metal, CL:種|种[zhǒng],"
期间,qi1 jian1,"period of time, time, time period, period, CL:個|个[gè],"
产品,chan3 pin3,"goods, merchandise, product, CL:個|个[gè],"
精力,jing1 li4,"energy,"
退休,tui4 xiu1,"to retire, retirement (from work),"
胡说,hu2 shuo1,"to talk nonsense, drivel,"
指挥,zhi3 hui1,"to conduct, to command, to direct, conductor (of an orchestra), CL:個|个[gè],"
丑,Chou3,"shameful, ugly, disgraceful,"
法院,fa3 yuan4,"court of law, court,"
自动,zi4 dong4,"automatic, voluntarily,"
宗教,zong1 jiao4,"religion,"
平静,ping2 jing4,"tranquil, undisturbed, serene,"
依然,yi1 ran2,"still, as before,"
乘,Cheng2,"to ride, to mount, to make use of, to avail oneself of, to take advantage of, to multiply (mathematics), Buddhist sect or creed,"
蹲,dun1,"to crouch, to squat,"
发表,fa1 biao3,"to issue, to publish,"
滴,di1,"a drop, to drip,"
成长,cheng2 zhang3,"to mature, to grow, growth,"
深刻,shen1 ke4,"profound, deep, deep-going,"
光临,guang1 lin2,"(honorific) Welcome!, You honor us with your presence., It is an honor to have you.,"
胳膊,ge1 bo5,"arm, CL:隻|只,條|条,雙|双[shuāng],"
诗,Shi1,"poem, CL:首[shǒu], poetry, verse, abbr. for Book of Songs 詩經|诗经[Shī Jīng],"
唉,ai1,"interjection or grunt of agreement or recognition (e.g. yes, it's me!), to sigh,"
背景,bei4 jing3,"background, backdrop, context, CL:種|种[zhǒng],"
救护车,jiu4 hu4 che1,"ambulance, CL:輛|辆[liàng],"
模仿,mo2 fang3,"to imitate, to copy, to emulate, to mimic, model,"
采访,cai3 fang3,"to interview, to gather news, to hunt for and collect, to cover,"
评价,ping2 jia4,"to evaluate, to assess,"
强烈,qiang2 lie4,"intense, (violently) strong,"
荣誉,rong2 yu4,"honor, credit, glory, (honorable) reputation, honorary,"
否认,fou3 ren4,"to declare to be untrue, to deny,"
阶段,jie1 duan4,"stage, section, phase, period, CL:個|个[gè],"
违反,wei2 fan3,"to violate (a law),"
逃避,tao2 bi4,"to escape, to evade, to avoid, to shirk,"
频道,pin2 dao4,"frequency, (television) channel,"
传说,chuan2 shuo1,"legend, folklore, tradition, it is said, they say that...,"
时期,shi2 qi1,"period, phase, CL:個|个[gè],"
物质,wu4 zhi4,"matter, substance, material, materialistic, CL:個|个[gè],"
射击,she4 ji1,"to shoot, to fire (a gun),"
伸,shen1,"to stretch, to extend,"
愿望,yuan4 wang4,"desire, wish,"
事物,shi4 wu4,"thing, object, CL:個|个[gè],"
兔子,tu4 zi5,"hare, rabbit, CL:隻|只[zhī],"
形象,xing2 xiang4,"image, form, figure, CL:個|个[gè], visualization, vivid,"
绳子,sheng2 zi5,"cord, string, rope, CL:條|条[tiáo],"
发挥,fa1 hui1,"to display, to exhibit, to bring out implicit or innate qualities, to express (a thought or moral), to develop (an idea), to elaborate (on a theme),"
倒霉,dao3 mei2,"to have bad luck, to be out of luck,"
纪念,ji4 nian4,"to commemorate, to remember, CL:個|个[gè],"
毕竟,bi4 jing4,"after all, all in all, when all is said and done, in the final analysis,"
道德,dao4 de2,"virtue, morality, ethics, CL:種|种[zhǒng],"
安慰,an1 wei4,"to comfort, to console, CL:個|个[gè],"
肌肉,ji1 rou4,"muscle, flesh,"
娱乐,yu2 le4,"to entertain, to amuse, entertainment, recreation, amusement, hobby, fun, joy,"
睁,zheng1,"to open (one's eyes),"
经典,jing1 dian3,"the classics, scriptures, classical,"
显得,xian3 de5,"to seem, to look, to appear,"
进步,jin4 bu4,"progress, improvement, to improve, to progress, CL:個|个[gè],"
追求,zhui1 qiu2,"to pursue (a goal etc) stubbornly, to seek after, to woo,"
趁,chen4,"to avail oneself of, to take advantage of,"
博物馆,bo2 wu4 guan3,"museum,"
遵守,zun1 shou3,"to comply with, to abide by, to respect (an agreement),"
煮,zhu3,"to cook, to boil,"
承担,cheng2 dan1,"to undertake, to assume (responsibility etc),"
拆,chai1,"to tear open, to tear down, to tear apart, to open,"
天空,tian1 kong1,"sky,"
至于,zhi4 yu2,"as for, as to, to go so far as to,"
登记,deng1 ji4,"to register (one's name),"
骂,ma4,"to scold, to abuse, CL:通,頓|顿[dùn],"
指导,zhi3 dao3,"to guide, to give directions, to direct, to coach, guidance, tuition, CL:個|个[gè],"
不安,bu4 an1,"unpeaceful, unstable, uneasy, disturbed, restless, worried,"
相关,xiang1 guan1,"to be interrelated, (statistics) correlation,"
身材,shen1 cai2,"stature, build (height and weight), figure,"
讽刺,feng3 ci4,"to satirize, to mock, irony, satire, sarcasm,"
抓紧,zhua1 jin3,"to grasp firmly, to pay special attention to, to rush in, to make the most of,"
沉默,chen2 mo4,"taciturn, uncommunicative, silent,"
严肃,yan2 su4,"solemn, grave, serious, earnest, severe,"
称呼,cheng1 hu5,"to call, to address as, appellation,"
配合,pei4 he2,"matching, fitting in with, compatible with, to correspond, to fit, to conform to, rapport, to coordinate with, to act in concert with, to cooperate, to become man and wife, to combine parts of machine,"
标志,biao1 zhi4,"sign, mark, symbol, to symbolize, to indicate, to mark,"
逗,dou4,"to stay, to stop, to pause (while reading), to tease (play with),"
降落,jiang4 luo4,"to descend, to land,"
平常,ping2 chang2,"ordinary, common, usually, ordinarily,"
摇,Yao2,"to shake, to rock, to row,"
功夫,gong1 fu5,"skill, art, kung fu, labor, effort,"
完整,wan2 zheng3,"complete, intact,"
肩膀,jian1 bang3,"shoulder,"
宣传,xuan1 chuan2,"to disseminate, to give publicity to, propaganda, CL:個|个[gè],"
谈判,tan2 pan4,"to negotiate, negotiation, talks, conference, CL:個|个[gè],"
隔壁,ge2 bi4,"next door, neighbor,"
商业,shang1 ye4,"business, trade, commerce,"
自私,zi4 si1,"selfish, selfishness,"
沙漠,sha1 mo4,"desert, CL:個|个[gè],"
手套,shou3 tao4,"glove, mitten, CL:雙|双,隻|只[zhī],"
等于,deng3 yu2,"to equal, to be tantamount to,"
面临,mian4 lin2,"to face sth, to be confronted with,"
出席,chu1 xi2,"to attend, to participate, present,"
经营,jing1 ying2,"to engage in (business etc), to run, to operate,"
课程,ke4 cheng2,"course, academic program, CL:堂,節|节,門|门[mén],"
舌头,she2 tou5,"tongue, CL:個|个[gè], enemy soldier captured for the purpose of extracting information,"
消灭,xiao1 mie4,"to put an end to, to annihilate, to cause to perish, to perish, annihilation (in quantum field theory),"
项链,xiang4 lian4,"necklace, CL:條|条[tiáo],"
哪怕,na3 pa4,"even, even if, even though, no matter how,"
劝,quan4,"to advise, to urge, to try to persuade, to exhort,"
原则,yuan2 ze2,"principle, doctrine, CL:個|个[gè],"
资金,zi1 jin1,"funds, funding, capital,"
纪录,ji4 lu4,"record,"
玉米,yu4 mi3,"corn, maize, CL:粒[lì],"
宠物,chong3 wu4,"house pet,"
灰,hui1,"ash, dust, lime, gray, discouraged, dejected,"
广场,guang3 chang3,"public square, plaza,"
无数,wu2 shu4,"countless, numberless, innumerable,"
善良,shan4 liang2,"good and honest, kind-hearted,"
烫,tang4,"to scald, to burn, to iron, hot,"
表面,biao3 mian4,"surface, face, outside, appearance,"
智慧,zhi4 hui4,"wisdom, knowledge, intelligent, intelligence,"
主席,zhu3 xi2,"chairperson, premier, chairman, CL:個|个,位[wèi],"
联合,lian2 he2,"to combine, to join, unite, alliance,"
漏,lou4,"to leak, to divulge, to leave out by mistake, waterclock or hourglass (old),"
批准,pi1 zhun3,"to approve, to ratify,"
气氛,qi4 fen1,"atmosphere, mood,"
可靠,ke3 kao4,"reliable,"
体验,ti3 yan4,"to experience for oneself,"
录音,lu4 yin1,"to record (sound), sound recording, CL:個|个[gè],"
编辑,bian1 ji2,"to edit, to compile, editor, compiler,"
黄金,huang2 jin1,"gold,"
临时,lin2 shi2,"at the instant sth happens, temporary, interim, ad hoc,"
优势,you1 shi4,"superiority, dominance, advantage,"
温柔,wen1 rou2,"gentle and soft, tender,"
皇后,huang2 hou4,"empress, imperial consort,"
签字,qian1 zi4,"to sign (a signature),"
成就,cheng2 jiu4,"accomplishment, success, attain a result, achievement, CL:個|个[gè],"
方案,fang1 an4,"plan, program (for action etc), proposal, proposed bill, CL:個|个,套[tào],"
形容,xing2 rong2,"to describe, description, appearance, look,"
利益,li4 yi4,"benefit, (in sb's) interest, CL:個|个[gè],"
捐,juan1,"to contribute, to donate, contribution, tax, to abandon,"
军事,jun1 shi4,"military affairs, military matters, military,"
询问,xun2 wen4,"to inquire,"
结论,jie2 lun4,"conclusion, verdict, CL:個|个[gè], to conclude, to reach a verdict,"
迷路,mi2 lu4,"to lose the way, lost, labyrinth, labyrinthus vestibularis (of the inner ear),"
平衡,ping2 heng2,"balance, equilibrium,"
销售,xiao1 shou4,"to sell, market, sales,"
良好,liang2 hao3,"good, favorable, well, fine,"
工人,gong1 ren2,"worker, CL:個|个,名[míng],"
自愿,zi4 yuan4,"voluntary,"
措施,cuo4 shi1,"measure, step, CL:個|个[gè],"
祝福,zhu4 fu2,"blessings, to wish sb well,"
化学,hua4 xue2,"chemistry, chemical,"
调整,tiao2 zheng3,"to adjust, adjustment, revision, CL:個|个[gè],"
费用,fei4 yong4,"cost, expenditure, expense, CL:筆|笔,個|个[gè],"
胃,wei4,"stomach, CL:個|个[gè],"
过敏,guo4 min3,"to be allergic, allergy,"
包裹,bao1 guo3,"wrap up, bind up, bundle, parcel, package, CL:個|个[gè],"
妇女,fu4 nv3,"woman,"
地毯,di4 tan3,"carpet, rug,"
总算,zong3 suan4,"at long last, finally, on the whole,"
古老,gu3 lao3,"ancient, old, age-old,"
委托,wei3 tuo1,"to entrust, to trust, to commission,"
宴会,yan4 hui4,"banquet, feast, dinner party, CL:席,個|个[gè],"
怀念,huai2 nian4,"to cherish the memory of, to think of, reminisce,"
干脆,gan1 cui4,"straightforward, clear-cut, blunt (e.g. statement), you might as well, simply,"
温暖,wen1 nuan3,"warm,"
出版,chu1 ban3,"to publish, to come off the press, to put out,"
主持,zhu3 chi2,"to take charge of, to manage or direct, to preside over, to uphold, to stand for (justice etc), to host (a TV or radio program etc),"
缺乏,que1 fa2,"shortage, be lacking, to be short of, to lack, scarcity,"
义务,yi4 wu4,"duty, obligation, commitment, volunteer duty, CL:項|项[xiàng], mandatory, voluntary,"
除,chu2,"to get rid of, to remove, to exclude, to eliminate, to wipe out, to divide, except, not including,"
蜜蜂,mi4 feng1,"bee, honeybee, CL:隻|只,群[qún],"
保存,bao3 cun2,"to conserve, to preserve, to keep, to save (a file etc) (computing),"
如今,ru2 jin1,"nowadays, now,"
不如,bu4 ru2,"not equal to, not as good as, inferior to, it would be better to,"
雇佣,gu4 yong1,"to employ, to hire,"
企图,qi3 tu2,"to attempt, to try, attempt, CL:種|种[zhǒng],"
电台,dian4 tai2,"transmitter-receiver, broadcasting station, radio station, CL:個|个,家[jiā],"
丁,Ding1,"fourth of 10 heavenly stems 十天干, fourth in order, letter ""D"" or roman ""IV"" in list ""A, B, C"", or ""I, II, III"" etc, butyl, cubes (of food),"
推荐,tui1 jian4,"to recommend, recommendation,"
小偷,xiao3 tou1,"thief,"
硬币,ying4 bi4,"coin, CL:枚[méi],"
撕,si1,"to tear,"
肺,fei4,"lung, CL:個|个[gè],"
糊涂,hu2 tu5,"muddled, silly, confused,"
咨询,zi1 xun2,"to consult, to seek advice, consultation, (sales) inquiry (formal),"
燃烧,ran2 shao1,"to ignite, to combust, to burn, combustion, flaming,"
豪华,hao2 hua2,"luxurious,"
青,Qing1,"nature's color, green or blue, greenish black, youth, young (of people), abbr. for Qinghai province 青海,"
选举,xuan3 ju3,"to elect, election, CL:次,個|个[gè],"
人口,ren2 kou3,"population,"
功能,gong1 neng2,"function, capability,"
银,yin2,"silver, silver-colored, relating to money or currency,"
明确,ming2 que4,"clear-cut, definite, explicit, to clarify, to specify, to make definite,"
把握,ba3 wo4,"to grasp (also fig.), to seize, to hold, assurance, certainty, sure (of the outcome),"
激烈,ji1 lie4,"intense, acute, fierce,"
扶,fu2,"to support with the hand, to help sb up, to support oneself by holding onto something, to help,"
秘书,mi4 shu1,"secretary,"
闯,chuang3,"to rush, to charge, to dash, to break through, to temper oneself (through battling hardships),"
事先,shi4 xian1,"in advance, before the event, beforehand, prior,"
复制,fu4 zhi4,"to duplicate, to make a copy of, to copy, to reproduce, to clone,"
闪电,shan3 dian4,"lightning, CL:道[dào],"
摄影,she4 ying3,"to take a photograph, photography, to shoot (a movie),"
车库,che1 ku4,"garage,"
通讯,tong1 xun4,"communications, news story, dispatch, CL:個|个[gè],"
破产,po4 chan3,"to go bankrupt, to become impoverished, bankruptcy,"
沙滩,sha1 tan1,"beach, sandy shore, CL:片[piàn],"
移民,yi2 min2,"to immigrate, to migrate, emigrant, immigrant,"
摩托车,mo2 tuo1 che1,"motorbike, motorcycle, CL:輛|辆,部[bù],"
热爱,re4 ai4,"to love ardently, to adore,"
日期,ri4 qi1,"date, CL:個|个[gè],"
赞成,zan4 cheng2,"to approve, to endorse, (literary) to assist,"
统治,tong3 zhi4,"to rule (a country), to govern, rule, regime,"
形式,xing2 shi4,"form, shape, situation, circumstance, CL:個|个[gè],"
结合,jie2 he2,"to combine, to link, to integrate, binding, CL:次[cì],"
矛盾,mao2 dun4,"contradictory, contradiction, CL:個|个[gè],"
现象,xian4 xiang4,"appearance, phenomenon, CL:個|个,種|种[zhǒng],"
相似,xiang1 si4,"to resemble, similar, like, resemblance, similarity,"
充分,chong1 fen4,"ample, sufficient, adequate, full, fully, to the full,"
领域,ling3 yu4,"domain, sphere, field, territory, area,"
电池,dian4 chi2,"battery, CL:節|节,組|组[zǔ],"
据说,ju4 shuo1,"it is said that, reportedly,"
家乡,jia1 xiang1,"hometown, native place, CL:個|个[gè],"
蜡烛,la4 zhu2,"candle, CL:根,支[zhī],"
迅速,xun4 su4,"rapid, speedy, fast,"
前途,qian2 tu2,"prospects, future outlook, journey,"
成立,cheng2 li4,"to establish, to set up, to be tenable, to hold water,"
弱,ruo4,"weak, feeble, young, inferior, (following a decimal or fraction) slightly less than,"
妨碍,fang2 ai4,"to hinder, to obstruct,"
挥,hui1,"to wave, to brandish, to wipe away, to command, to conduct, to scatter, to disperse,"
装饰,zhuang1 shi4,"to decorate, decoration, decorative, ornamental,"
诊断,zhen3 duan4,"diagnosis, to diagnose,"
资源,Zi1 yuan2,"natural resource (such as water or minerals), resource (such as manpower or tourism),"
独特,du2 te4,"unique, distinct, having special characteristics,"
牵,qian1,"to pull (an animal on a tether), to lead along, to hold hands,"
体会,ti3 hui4,"to know from experience, to learn through experience, to realize, understanding, experience,"
生产,sheng1 chan3,"childbirth, parturition, to produce, manufacture,"
腰,yao1,"waist, lower back, pocket, middle, loins,"
光明,guang1 ming2,"light, illumination, radiance (esp. glory of Buddha etc), fig. bright prospects, openhearted,"
贷款,dai4 kuan3,"a loan, to provide a loan (e.g. bank), CL:筆|笔[bǐ],"
胆小鬼,dan3 xiao3 gui3,"coward,"
钓,diao4,"to fish with a hook and bait,"
枕头,zhen3 tou5,"pillow,"
地震,di4 zhen4,"earthquake,"
转变,zhuan3 bian4,"to change, to transform, shift, transformation, CL:個|个[gè],"
各自,ge4 zi4,"each, respective, apiece,"
摘,zhai1,"to take, to borrow, to pick (flowers, fruit etc), to pluck, to select, to remove, to take off (glasses, hat etc),"
最初,zui4 chu1,"first, primary, initial,"
专心,zhuan1 xin1,"to concentrate, absorption, concentration, engrossed,"
告别,gao4 bie2,"to leave, to bid farewell to, to say good-bye to,"
地位,di4 wei4,"position, status, place, CL:個|个[gè],"
贡献,gong4 xian4,"to contribute, to dedicate, to devote, contribution, CL:個|个[gè],"
始终,shi3 zhong1,"from beginning to end, all along,"
打交道,da3 jiao1 dao4,"to come into contact with, to have dealings,"
账户,zhang4 hu4,"bank account, online account,"
股票,gu3 piao4,"share, stock (market),"
行业,hang2 ye4,"industry, business,"
形成,xing2 cheng2,"to form, to take shape,"
鸽子,ge1 zi5,"pigeon, dove, various birds of the species Columbidae,"
戏剧,xi4 ju4,"drama, play, theater,"
抗议,kang4 yi4,"to protest, protest,"
执照,zhi2 zhao4,"a license, a permit,"
沟通,gou1 tong1,"to join, to connect, to link up, to communicate,"
汽油,qi4 you2,"gasoline,"
政策,zheng4 ce4,"policy, CL:個|个[gè],"
披,pi1,"to drape over one's shoulders, to open, to unroll, to split open, to spread out,"
寂寞,ji4 mo4,"lonely, lonesome, quiet, silent,"
单位,dan1 wei4,"a unit, unit (of measure), work unit (one's workplace), CL:個|个[gè],"
论文,lun4 wen2,"paper, treatise, thesis, CL:篇[piān], to discuss a paper or thesis (old),"
多亏,duo1 kui1,"thanks to, luckily,"
固定,gu4 ding4,"fixed, set, regular,"
口味,kou3 wei4,"a person's preferences, tastes (in food), flavor,"
注册,zhu4 ce4,"to register, to enroll,"
木头,mu4 tou5,"slow-witted, blockhead, log (of wood, timber etc), CL:塊|块,根[gēn],"
英俊,ying1 jun4,"handsome,"
公布,gong1 bu4,"to announce, to make public, to publish,"
乐观,le4 guan1,"optimistic, hopeful,"
至今,zhi4 jin1,"so far, to this day, until now,"
争论,zheng1 lun4,"to argue, to debate, to contend, argument, contention, controversy, debate, CL:次,場|场[chǎng],"
名片,ming2 pian4,"(business) card,"
陌生,mo4 sheng1,"strange, unfamiliar,"
业余,ye4 yu2,"spare time, amateur, extra-curricular,"
人才,ren2 cai2,"a person's talent, talented person, distinguished person, a talent (worth head-hunting), person's looks, an attractive woman, used interchangeably with 人材, CL:個|个[gè],"
失业,shi1 ye4,"unemployment, to lose one's job,"
克服,ke4 fu2,"(try to) overcome (hardships etc), to conquer, to put up with, to endure,"
难怪,nan2 guai4,"(it's) no wonder (that...), (it's) not surprising (that),"
全面,quan2 mian4,"all-around, comprehensive, total, overall,"
歪,wai1,"askew, at a crooked angle, devious, noxious,"
计算,ji4 suan4,"to count, to calculate, to compute, CL:個|个[gè],"
收获,shou1 huo4,"to harvest, to reap, to gain, crop, harvest, profit, gain, bonus, reward,"
排队,pai2 dui4,"to line up,"
歇,xie1,"to rest,"
有利,you3 li4,"advantageous, to have advantages, favorable,"
谨慎,jin3 shen4,"cautious, prudent,"
甲,jia3,"first of the ten heavenly stems 十天干[shí tiān gān], (used for an unspecified person or thing), first (in a list, as a party to a contract etc), armor plating, shell or carapace, (of the fingers or toes) nail, bladed leather or metal armor (old), ranking system used in the Imperial examinations (old), civil administration unit (old),"
犹豫,you2 yu4,"to hesitate,"
从此,cong2 ci3,"from now on, since then, henceforth,"
企业,qi3 ye4,"company, firm, enterprise, corporation, CL:家[jiā],"
下载,xia4 zai3,"to download, also pr. [xià zài],"
服从,fu2 cong2,"to obey (an order), to comply, to defer,"
青少年,qing1 shao4 nian2,"adolescent, youth, teenager,"
展开,zhan3 kai1,"to unfold, to carry out, to be in full swing, to launch,"
双方,shuang1 fang1,"bilateral, both sides, both parties involved,"
象征,xiang4 zheng1,"emblem, symbol, token, badge, to symbolize, to signify, to stand for,"
开放,kai1 fang4,"to bloom, to open, to be open-minded, to be open (to the public), to open up (to the outside),"
大型,da4 xing2,"large, large-scale,"
冻,dong4,"to freeze, to feel very cold, aspic or jelly,"
忍不住,ren3 bu5 zhu4,"cannot help, unable to bear,"
晒,shai4,"to dry in the sun, to sunbathe, to share files (loan from ""share""),"
文明,wen2 ming2,"civilized, civilization, culture, CL:個|个[gè],"
舒适,shu1 shi4,"cozy, snug,"
大象,da4 xiang4,"elephant, CL:隻|只[zhī],"
弯,wan1,"bend, bent, CL:道[dào],"
因素,yin1 su4,"element, factor, CL:個|个[gè],"
不足,bu4 zu2,"insufficient, lacking, deficiency, not enough, inadequate, not worth, cannot, should not,"
操心,cao1 xin1,"to worry about,"
疑问,yi2 wen4,"question, interrogation, doubt,"
维护,wei2 hu4,"to defend, to safeguard, to protect, to uphold, to maintain,"
雾,wu4,"fog, mist, CL:場|场,陣|阵[zhèn],"
从前,cong2 qian2,"previously, formerly, once upon a time,"
天真,tian1 zhen1,"naive, innocent, artless,"
运用,yun4 yong4,"to use, to put to use,"
土豆,tu3 dou4,"potato, CL:個|个[gè], peanut (Taiwan), CL:顆|颗[kē],"
偶然,ou3 ran2,"incidentally, occasional, occasionally, by chance, randomly,"
翅膀,chi4 bang3,"wing, CL:個|个,對|对[duì],"
高速,gao1 su4,"high speed,"
届,jie4,"to arrive at (place or time), period, to become due, classifier for events, meetings, elections, sporting fixtures, years (of graduation),"
决心,jue2 xin1,"determination, resolution, determined, firm and resolute, to make up one's mind, CL:個|个[gè],"
传播,chuan2 bo1,"to disseminate, to propagate, to spread,"
从事,cong2 shi4,"to go for, to engage in, to undertake, to deal with, to handle, to do,"
迎接,ying2 jie1,"to meet, to welcome, to greet,"
反而,fan3 er2,"instead, on the contrary, contrary (to expectations),"
蝴蝶,hu2 die2,"butterfly, CL:隻|只[zhī],"
总裁,zong3 cai2,"chairman, director-general (of a company etc),"
尾巴,wei3 ba5,"tail,"
抽屉,chou1 ti5,"drawer,"
点心,dian3 xin5,"light refreshments, pastry, dimsum (in Cantonese cooking), dessert,"
剪刀,jian3 dao1,"scissors, CL:把[bǎ],"
狡猾,jiao3 hua2,"crafty, cunning, sly,"
阵,zhen4,"disposition of troops, wave, spate, burst, spell, short period of time, classifier for events or states of short duration,"
赞美,zan4 mei3,"to admire, to praise, to eulogize,"
民主,min2 zhu3,"democracy,"
其余,qi2 yu2,"the rest, the others, remaining, remainder, apart from them,"
解放,jie3 fang4,"to liberate, to emancipate, liberation, refers to the Communists' victory over the Nationalists in 1949, CL:次[cì],"
客厅,ke4 ting1,"drawing room (room for arriving guests), living room, CL:間|间[jiān],"
结构,jie2 gou4,"structure, composition, makeup, architecture, CL:座,個|个[gè],"
洒,sa3,"to sprinkle, to spray, to spill, to shed,"
热烈,re4 lie4,"warm (welcome etc),"
证件,zheng4 jian4,"paperwork, credentials,"
发言,fa1 yan2,"to make a speech, statement, utterance, CL:個|个[gè],"
辩论,bian4 lun4,"debate, argument, to argue over, CL:場|场,次[cì],"
能源,neng2 yuan2,"energy, power source, CL:個|个[gè],"
传染,chuan2 ran3,"to infect, contagious,"
落后,luo4 hou4,"to fall behind, to lag (in technology etc), backward, to retrogress,"
不要紧,bu4 yao4 jin3,"unimportant, not serious, it doesn't matter, never mind, it looks all right, but,"
实习,shi2 xi2,"to practice, field work, to intern, internship,"
特征,te4 zheng1,"characteristic, diagnostic property, distinctive feature, trait,"
忽视,hu1 shi4,"to neglect, to ignore,"
赔偿,pei2 chang2,"to compensate,"
光荣,guang1 rong2,"honor and glory, glorious,"
逻辑,luo2 ji5,"logic (loanword),"
肥皂,fei2 zao4,"soap, CL:塊|块,條|条[tiáo],"
物理,wu4 li3,"physics, physical,"
管子,Guan3 zi3,"tube, pipe, drinking straw, CL:根[gēn],"
拦,lan2,"to cut off, to hinder,"
输入,shu1 ru4,"to import, to input,"
宝贵,bao3 gui4,"valuable, precious, to value, to treasure, to set store by,"
真理,zhen1 li3,"truth, CL:個|个[gè],"
情景,qing2 jing3,"scene, sight, circumstances, CL:個|个[gè],"
概念,gai4 nian4,"concept, idea, CL:個|个[gè],"
学期,xue2 qi1,"term, semester, CL:個|个[gè],"
招待,zhao1 dai4,"to receive (guests), to entertain, reception,"
安装,an1 zhuang1,"to install, to erect, to fix, to mount, installation,"
革命,ge2 ming4,"revolution, revolutionary (politics), CL:次[cì],"
修改,xiu1 gai3,"to amend, to alter, to modify,"
分别,fen1 bie2,"to part or leave each other, to distinguish, difference, in different ways, differently, separately or individually,"
蔬菜,shu1 cai4,"vegetables, produce, CL:種|种[zhǒng],"
语气,yu3 qi4,"tone, manner of speaking, mood, CL:個|个[gè],"
成果,cheng2 guo3,"result, achievement, gain, profit, CL:個|个[gè],"
奋斗,fen4 dou4,"to strive, to struggle,"
培养,pei2 yang3,"to cultivate, to breed, to foster, to nurture, to educate, to groom (for a position), education, fostering, culture (biology),"
设施,she4 shi1,"facilities, installation,"
珍惜,zhen1 xi1,"to treasure, to value, to cherish,"
锅,guo1,"pot, pan, boiler, CL:口,隻|只[zhī],"
形状,xing2 zhuang4,"form, shape, CL:個|个[gè],"
秩序,zhi4 xu4,"order (orderly), order (sequence), social order, the state (of society), CL:個|个[gè],"
成分,cheng2 fen4,"composition, make-up, ingredient, element, component, one's social status, CL:個|个[gè],"
催,cui1,"to urge, to press, to prompt, to rush sb, to hasten sth, to expedite,"
卫生间,wei4 sheng1 jian1,"bathroom, toilet, WC, CL:間|间[jiān],"
影子,ying3 zi5,"shadow, reflection, CL:個|个[gè],"
等候,deng3 hou4,"to wait, to wait for,"
薄,Bo2,"thin, cold in manner, indifferent, weak, light, infertile,"
铃,ling2,"(small) bell, CL:隻|只[zhī],"
税,shui4,"taxes, duties,"
缩小,suo1 xiao3,"to reduce, to decrease, to shrink,"
打招呼,da3 zhao1 hu5,"to greet sb by word or action, to give prior notice,"
宿舍,su4 she4,"dormitory, dorm room, living quarters, hostel, CL:間|间[jiān],"
浓,nong2,"concentrated, dense,"
痒,yang3,"to itch, to tickle,"
必需,bi4 xu1,"to need, to require, essential, indispensable,"
仿佛,fang3 fu2,"to seem, as if, alike, similar,"
要不,yao4 bu4,"otherwise, or else, how about...?, either... (or...),"
