hanzi,pinyin,english
涉及,she4 ji2,"to involve, to touch upon (a topic),"
征服,zheng1 fu2,"to conquer, to subdue, to vanquish,"
作弊,zuo4 bi4,"to practice fraud, to cheat, to engage in corrupt practices,"
报仇,bao4 chou2,"to take revenge, to avenge,"
浑身,hun2 shen1,"all over, from head to foot,"
布置,bu4 zhi4,"to put in order, to arrange, to decorate, to fix up, to deploy,"
收藏,shou1 cang2,"to hoard, to collect, collection, to bookmark (internet),"
泄露,xie4 lu4,"to leak (information), to divulge,"
典礼,dian3 li3,"celebration, ceremony,"
着迷,zhao2 mi2,"to be fascinated, to be captivated,"
抵抗,di3 kang4,"to resist, resistance,"
皆,jie1,"all, each and every, in all cases,"
战术,zhan4 shu4,"tactics,"
操纵,cao1 zong4,"to operate, to control, to rig, to manipulate,"
局面,ju2 mian4,"aspect, phase, situation,"
设置,she4 zhi4,"to set up, to install,"
奇妙,qi2 miao4,"fantastic, wonderful,"
代理,dai4 li3,"to act on behalf of sb in a responsible position, to act as an agent or proxy, surrogate,"
消除,xiao1 chu2,"to eliminate, to remove,"
要不然,yao4 bu4 ran2,"otherwise, or else, or,"
场面,chang3 mian4,"scene, spectacle, occasion, situation,"
纯粹,chun2 cui4,"purely,"
防止,fang2 zhi3,"to prevent, to guard against, to take precautions,"
窝,wo1,"nest, pit or hollow on the human body, lair, den, place, to harbor or shelter, to hold in check, to bend, classifier for litters and broods,"
幢,chuang2,"classifier for buildings, carriage curtain (old),"
超越,chao1 yue4,"to surpass, to exceed, to transcend,"
明明,ming2 ming2,"obviously, plainly, undoubtedly, definitely,"
原始,yuan2 shi3,"first, original, primitive, original (document etc),"
不惜,bu4 xi1,"not stint, not spare, not hesitate (to do sth), not scruple (to do sth),"
发火,fa1 huo3,"to catch fire, to ignite, to detonate, to get angry,"
弱点,ruo4 dian3,"weak point, failing,"
永恒,yong3 heng2,"eternal, everlasting, fig. to pass into eternity (i.e. to die),"
祖父,zu3 fu4,"father's father, paternal grandfather,"
高潮,gao1 chao2,"high tide, high water, upsurge, climax, orgasm, chorus (part of a song),"
拽,ye4,"to pull, to tug at (sth),"
火焰,huo3 yan4,"blaze, flame,"
信念,xin4 nian4,"faith, belief, conviction,"
贿赂,hui4 lu4,"to bribe, a bribe,"
故障,gu4 zhang4,"malfunction, breakdown, defect, shortcoming, fault, failure, impediment, error, bug (in software),"
签署,qian1 shu3,"to sign (an agreement),"
舱,cang1,"cabin, the hold of a ship or airplane,"
创作,chuang4 zuo4,"to create, to produce, to write, creative work, creation, CL:個|个[gè],"
打仗,da3 zhang4,"to fight a battle, to go to war,"
分散,fen1 san4,"to scatter, to disperse, to distribute,"
咋,za3,"dialectal equivalent of 怎麼|怎么[zěn me],"
坟墓,fen2 mu4,"sepulcher, tomb,"
官方,guan1 fang1,"official, (by the) government,"
降临,jiang4 lin2,"to descend to,"
推测,tui1 ce4,"speculation, to conjecture, to surmise, to speculate,"
棕色,zong1 se4,"brown,"
曲子,qu3 zi5,"poem for singing, tune, music, CL:支[zhī],"
实施,shi2 shi1,"to implement, to carry out,"
贵族,gui4 zu2,"lord, nobility, nobleman, noblewoman, aristocrat, aristocracy,"
敞开,chang3 kai1,"to open wide, unrestrictedly,"
陈述,chen2 shu4,"an assertion, to declare, to state,"
边境,bian1 jing4,"frontier, border,"
掩饰,yan3 shi4,"to conceal a fault, to gloss over,"
终点,zhong1 dian3,"the end, end point, finishing line (in a race), destination, terminus, CL:個|个[gè],"
野蛮,ye3 man2,"barbarous, uncivilized,"
厌恶,yan4 wu4,"to loathe, to hate, disgusted with sth,"
漫长,man4 chang2,"very long, endless,"
责怪,ze2 guai4,"to blame, to rebuke,"
赞助,zan4 zhu4,"to support, to assist, to sponsor,"
堕落,duo4 luo4,"to morally degenerate, to become depraved, a fall from grace, a fall into sin or depravity,"
预料,yu4 liao4,"to forecast, to anticipate, expectation,"
正当,zheng4 dang1,"honest, reasonable, fair, sensible, timely, just (when needed),"
合并,he2 bing4,"to merge, to annex,"
赞同,zan4 tong2,"to approve of, to endorse, (vote) in favor,"
丢人,diu1 ren2,"to lose face,"
极端,ji2 duan1,"extreme,"
年度,nian2 du4,"year (e.g. school year, fiscal year), annual,"
机械,ji1 xie4,"machine, machinery, mechanical, (old) cunning, scheming,"
拘留,ju1 liu2,"to detain (a prisoner), to keep sb in custody,"
刹车,sha1 che1,"to brake (when driving), to stop, to switch off, to check (bad habits), a brake,"
位于,wei4 yu2,"to be located at, to be situated at, to lie,"
裁判,cai2 pan4,"judgment, to referee, umpire, judge, referee, CL:個|个,位,名[míng],"
幸好,xing4 hao3,"fortunately,"
分裂,fen1 lie4,"to split up, to divide, to break up, fission, schism,"
巡逻,xun2 luo2,"to patrol (police, army or navy),"
噪音,zao4 yin1,"rumble, noise, static (in a signal),"
把戏,ba3 xi4,"acrobatics, jugglery, cheap trick, game,"
定义,ding4 yi4,"definition,"
呕吐,ou3 tu4,"to vomit,"
恐吓,kong3 he4,"to threaten, to menace,"
清洁,qing1 jie2,"clean,"
羞耻,xiu1 chi3,"(a feeling of) shame,"
折,she2,"variant of 折[zhé], to fold,"
串,chuan4,"to string together, to mix up, to conspire, to rove, to make a swift or abrupt linear movement (like a bead on an abacus), to move across, bunch or cluster, string (computing), classifier for rows or strings,"
轨道,gui3 dao4,"orbit, railway or tram line, fig. conventional way of thinking,"
视线,shi4 xian4,"line of sight,"
帐篷,zhang4 peng5,"tent, CL:頂|顶,座[zuò],"
血压,xue4 ya1,"blood pressure,"
氧气,yang3 qi4,"oxygen,"
遗传,yi2 chuan2,"heredity, inheritance, to transmit,"
十足,shi2 zu2,"ample, complete, hundred percent, a pure shade (of some color),"
携带,xie2 dai4,"to carry (on one's person), to support (old), Taiwan pr. [xī dài],"
检验,jian3 yan4,"to inspect, to examine, to test,"
守护,shou3 hu4,"to guard, to protect,"
鉴于,jian4 yu2,"in view of, seeing that, considering, whereas,"
误解,wu4 jie3,"to misunderstand, to misread, misunderstanding,"
写作,xie3 zuo4,"writing, written works,"
大厦,da4 sha4,"large building, edifice, mansion, CL:座[zuò],"
例外,li4 wai4,"(make an) exception,"
保卫,bao3 wei4,"to defend, to safeguard,"
打包,da3 bao1,"to wrap, to pack, to ask for a doggy bag (at a restaurant),"
地步,di4 bu4,"condition, situation, plight, extent, room for action,"
掐,qia1,"to pick (flowers), to pinch, to nip, to pinch off, to clutch, (slang) to fight,"
跳跃,tiao4 yue4,"to jump, to leap, to bound, to skip,"
撤销,che4 xiao1,"to repeal, to revoke, to undo (computing),"
防御,fang2 yu4,"defense, to defend,"
命名,ming4 ming2,"to give a name to, to dub, to christen, to designate, named after, naming,"
事务,shi4 wu4,"(political, economic etc) affairs, work,"
妄想,wang4 xiang3,"to attempt vainly, a vain attempt,"
司法,si1 fa3,"judicial, (administration of) justice,"
谣言,yao2 yan2,"rumor,"
版本,ban3 ben3,"version, edition, release,"
报酬,bao4 chou5,"reward, remuneration,"
动静,dong4 jing4,"sound of activity or people talking, news of activity,"
胃口,wei4 kou3,"appetite,"
人性,ren2 xing4,"human nature, humanity, human, the totality of human attributes,"
丧失,sang4 shi1,"to lose, to forfeit,"
着想,zhuo2 xiang3,"to give thought (to others), to consider (other people's needs),"
粗鲁,cu1 lu3,"crude, coarse, rough,"
辐射,fu2 she4,"radiation,"
铺,pu4,"to spread, to display, to set up, (old) holder for door-knocker,"
带领,dai4 ling3,"to guide, to lead,"
挪,nuo2,"to shift, to move,"
迫不及待,po4 bu4 ji2 dai4,"impatient (idiom); in a hurry, itching to get on with it,"
潜水,qian2 shui3,"to dive, to go under water, lurker (Internet slang for sb who reads forum posts but never replies),"
挨,ai1,"to suffer, to endure, to pull through (hard times), to delay, to stall, to play for time, to dawdle,"
违背,wei2 bei4,"to violate, to be contrary to,"
圈套,quan1 tao4,"trap, snare, trick,"
遗产,yi2 chan3,"heritage, legacy, inheritance, bequest, CL:筆|笔[bǐ],"
正经,zheng4 jing1,"decent, honorable, proper, serious, according to standards,"
看待,kan4 dai4,"to look upon, to regard,"
惊奇,jing1 qi2,"to be amazed, to be surprised, to wonder,"
人格,ren2 ge2,"personality, integrity, dignity,"
珍贵,zhen1 gui4,"precious,"
思维,si1 wei2,"(line of) thought, thinking,"
先进,xian1 jin4,"advanced (technology), to advance,"
级别,ji2 bie2,"(military) rank, level, grade,"
竞赛,jing4 sai4,"race, competition, CL:個|个[gè],"
垫,dian4,"pad, cushion, mat, to pad out, to fill a gap, to pay for sb, to advance (money),"
岩石,yan2 shi2,"rock,"
引导,yin3 dao3,"to guide, to lead (around), to conduct, to boot, introduction, primer,"
干涉,gan1 she4,"to interfere, to meddle, interference,"
迷惑,mi2 huo5,"to puzzle, to confuse, to baffle,"
嫌疑,xian2 yi2,"suspicion, (be) suspected (of),"
学位,xue2 wei4,"academic degree, e.g.: BSc 學士學位|学士学位, MSc 碩士學位|硕士学位, Diploma 學位證書|学位证书, PhD 博士學位|博士学位[bó shì xué wèi],"
交叉,jiao1 cha1,"to cross, to intersect, to overlap,"
元首,yuan2 shou3,"head of state,"
人间,ren2 jian1,"the human world, the earth,"
本能,ben3 neng2,"instinct,"
修复,xiu1 fu4,"to restore, to renovate, restoration,"
拳头,quan2 tou5,"fist, clenched fist, CL:個|个[gè], competitive (product),"
认定,ren4 ding4,"to maintain (that sth is true), to determine (a fact), determination (of an amount), of the firm opinion, to believe firmly, to set one's mind on, to identify with,"
抵达,di3 da2,"to arrive, to reach (a destination),"
一流,yi1 liu2,"top quality, front ranking,"
悲哀,bei1 ai1,"grieved, sorrowful,"
发觉,fa1 jue2,"to find, to detect, to discover,"
坑,keng1,"hole, pit, tunnel, to defraud,"
居住,ju1 zhu4,"to reside, to dwell, to live in a place, resident in,"
别墅,bie2 shu4,"villa, CL:幢,座[zuò],"
呈现,cheng2 xian4,"to appear, to emerge, to present (a certain appearance), to demonstrate,"
和解,he2 jie3,"to settle (a dispute out of court), to reconcile, settlement, conciliation, to become reconciled,"
失误,shi1 wu4,"lapse, mistake, to make a mistake, fault, service fault (in volleyball, tennis etc),"
识别,shi2 bie2,"to distinguish, to discern,"
元素,yuan2 su4,"element, element of a set, chemical element,"
传达,chuan2 da2,"to pass on, to convey, to relay, to transmit, transmission,"
贪婪,tan1 lan2,"avaricious, greedy, rapacious, insatiable, avid,"
捏,nie1,"to pinch (with one's fingers), to knead, to make up,"
清晰,qing1 xi1,"clear, distinct,"
镇定,zhen4 ding4,"calm, unperturbed, cool,"
麻醉,ma2 zui4,"anesthesia, fig. to poison (sb's mind),"
无知,wu2 zhi1,"ignorant, ignorance,"
细菌,xi4 jun1,"bacterium, germ,"
眼光,yan3 guang1,"gaze, insight, foresight, vision, way of looking at things,"
仪器,yi2 qi4,"instrument, apparatus, CL:臺|台[tái],"
放大,fang4 da4,"to enlarge, to magnify,"
杰出,jie2 chu1,"outstanding, distinguished, remarkable, prominent, illustrious,"
亲热,qin1 re4,"affectionate, intimate, warm-hearted,"
往常,wang3 chang2,"habitually (in the past), as one used to do formerly, as it used to be,"
诞生,dan4 sheng1,"to be born,"
风趣,feng1 qu4,"humor, wit, humorous, witty,"
忠实,zhong1 shi2,"faithful,"
符号,fu2 hao4,"symbol, mark, sign,"
以便,yi3 bian4,"so that, so as to, in order to,"
指定,zhi3 ding4,"to appoint, to assign, to indicate clearly and with certainty, designated,"
鉴定,jian4 ding4,"to appraise, to identify, to evaluate,"
蹦,beng4,"to jump, to bounce, to hop,"
盗窃,dao4 qie4,"to steal,"
推销,tui1 xiao1,"to market, to sell,"
纤维,xian1 wei2,"fiber, CL:種|种[zhǒng],"
宣誓,xuan1 shi4,"to swear an oath (of office), to make a vow,"
捣乱,dao3 luan4,"to disturb, to look for trouble, to stir up a row, to bother sb intentionally,"
跪,gui4,"to kneel,"
哄,hong1,"roar of laughter (onomatopoeia), hubbub, to roar (as a crowd),"
雷达,lei2 da2,"radar (loanword),"
需求,xu1 qiu2,"requirement, demand (economics),"
终身,zhong1 shen1,"lifelong, all one's life, marriage,"
福利,fu2 li4,"(material) welfare, well-being,"
牵扯,qian1 che3,"to involve, to implicate,"
驱逐,qu1 zhu2,"to expel, to deport, banishment,"
探索,tan4 suo3,"to explore, to probe,"
循环,xun2 huan2,"to cycle, to circulate, circle, loop,"
财务,cai2 wu4,"financial affairs,"
局势,ju2 shi4,"situation, state (of affairs),"
模样,mu2 yang4,"look, style, appearance, approximation, about, CL:個|个[gè],"
峡谷,xia2 gu3,"canyon, gill, ravine,"
运行,yun4 xing2,"to be in motion, to move, (of a computer) to run,"
终止,zhong1 zhi3,"to stop, to terminate (law),"
登陆,deng1 lu4,"to land, to come ashore, to make landfall (of typhoon etc), to log in,"
含义,han2 yi4,"meaning (implicit in a phrase), implied meaning, hidden meaning, hint, connotation,"
频率,pin2 lv4,"frequency,"
资助,zi1 zhu4,"to subsidize, to provide financial aid, subsidy,"
拖延,tuo1 yan2,"to adjourn, to delay, to defer, adjournment, procrastination,"
挖掘,wa1 jue2,"to excavate, to dig, to unearth,"
以往,yi3 wang3,"in the past, formerly,"
优先,you1 xian1,"priority,"
争夺,zheng1 duo2,"to fight over, to contest, to vie over,"
赋予,fu4 yu3,"to assign, to entrust (a task), to give, to bestow,"
回避,hui2 bi4,"to shun, to avoid (sb), to skirt, to evade (an issue), to step back, to withdraw, to recuse (a judge etc),"
警惕,jing3 ti4,"to be on the alert, vigilant, alert, on guard, to warn,"
妥协,tuo3 xie2,"to compromise, to reach terms, a compromise,"
精确,jing1 que4,"accurate, precise,"
钞票,chao1 piao4,"paper money, a bill (e.g. 100 yuan), CL:張|张,扎[zā],"
上瘾,shang4 yin3,"to get into a habit, to become addicted,"
演绎,yan3 yi4,"to deduce, to infer,"
依赖,yi1 lai4,"to depend on, to be dependent on,"
电源,dian4 yuan2,"electric power source,"
坚定,jian1 ding4,"firm, steady, staunch, resolute,"
气色,qi4 se4,"complexion,"
倾听,qing1 ting1,"to listen attentively,"
意图,yi4 tu2,"intent, intention, intend, schematic diagram,"
玩弄,wan2 nong4,"to play with, to toy with, to dally with, to engage in, to resort to,"
维修,wei2 xiu1,"maintenance (of equipment), to protect and maintain,"
新郎,xin1 lang2,"bridegroom, groom,"
吩咐,fen1 fu4,"to tell, to instruct, to command,"
数目,shu4 mu4,"amount, number,"
童话,tong2 hua4,"children's fairy tales,"
保管,bao3 guan3,"to assure, to guarantee, to take care of, to safeguard, certainly, surely,"
高尚,gao1 shang4,"noble, lofty, refined, exquisite,"
偏见,pian1 jian4,"prejudice,"
解散,jie3 san4,"to dissolve, to disband,"
焦点,jiao1 dian3,"focus, focal point,"
仍旧,reng2 jiu4,"still (remaining), to remain (the same), yet,"
无耻,wu2 chi3,"without any sense of shame, unembarrassed, shameless,"
战略,zhan4 lve4,"strategy,"
封闭,feng1 bi4,"to seal, to close, to confine, to seal off, to close down, sealed, confined, closed, unreceptive,"
脉搏,mai4 bo2,"a pulse (both medical and figurative),"
首要,shou3 yao4,"the most important, of chief importance,"
出路,chu1 lu4,"a way out (of a difficulty etc),"
走私,zou3 si1,"to smuggle, to have an illicit affair,"
动脉,dong4 mai4,"artery,"
掏,tao1,"variant of 掏[tāo],"
恶化,e4 hua4,"to worsen,"
目睹,mu4 du3,"to witness, to see at first hand, to see with one's own eyes,"
监督,jian1 du1,"to control, to supervise, to inspect,"
宪法,xian4 fa3,"constitution (of a country), CL:部[bù],"
幼稚,you4 zhi4,"young, childish, naive,"
阻碍,zu3 ai4,"to obstruct, to hinder, to block,"
激励,ji1 li4,"to encourage, to urge, motivation, incentive,"
极限,ji2 xian4,"limit, extreme boundary,"
面子,mian4 zi5,"outer surface, outside, honor, reputation, face (as in ""losing face""), self-respect, feelings, (medicinal) powder,"
歧视,qi2 shi4,"to discriminate against, discrimination,"
严厉,yan2 li4,"severe, strict,"
耳环,er3 huan2,"earring, CL:隻|只,對|对[duì],"
港口,gang3 kou3,"port, harbor,"
特定,te4 ding4,"special, specific, designated, particular,"
曝光,bao4 guang1,"light meter, exposure meter,"
扑,pu1,"to throw oneself at, to pounce on, to devote one's energies, to flap, to flutter, to dab, to pat, to bend over,"
引用,yin3 yong4,"to quote, to cite, to recommend, to appoint,"
纯洁,chun2 jie2,"pure, clean and honest, to purify,"
古董,gu3 dong3,"curio, antique,"
压抑,ya1 yi4,"to constrain or repress emotions, oppressive, stifling, depressing, repression,"
知觉,zhi1 jue2,"perception, consciousness,"
流浪,liu2 lang4,"to drift about, to wander, to roam, nomadic, homeless, unsettled (e.g. population), vagrant,"
发行,fa1 xing2,"to publish, to issue (stocks, currency etc), to release, to distribute (a film),"
进化,jin4 hua4,"evolution, CL:個|个[gè],"
挽回,wan3 hui2,"to retrieve, to redeem,"
遥远,yao2 yuan3,"distant, remote,"
途径,tu2 jing4,"way, channel,"
着手,zhuo2 shou3,"to put one's hand to it, to start out on a task, to set out,"
唠叨,lao2 dao5,"to prattle, to chatter, talkative, garrulous, to nag,"
技能,ji4 neng2,"technical ability, skill,"
目光,mu4 guang1,"sight, vision, view, gaze, look,"
摇摆,yao2 bai3,"to sway, to wobble, to waver,"
保障,bao3 zhang4,"to ensure, to guarantee, to safeguard,"
处置,chu3 zhi4,"to handle, to take care of, to punish,"
名誉,ming2 yu4,"fame, reputation, honor, honorary, emeritus (of retired professor),"
镇静,zhen4 jing4,"calm, cool,"
腐烂,fu3 lan4,"to rot, to become gangrenous,"
解剖,jie3 pou1,"to dissect (an animal), to analyze, anatomy,"
容器,rong2 qi4,"receptacle, vessel,"
生理,sheng1 li3,"physiology,"
束,Shu4,"to bind, bunch, bundle, classifier for bunches, bundles, beams of light etc, to control,"
统计,tong3 ji4,"statistics, to count, to add up,"
刑事,xing2 shi4,"criminal, penal,"
打猎,da3 lie4,"to go hunting,"
空白,kong4 bai2,"blank space,"
捞,lao1,"to fish up, to dredge up,"
跨,kua4,"to step across, to stride over, to straddle, to span,"
随身,sui2 shen1,"to (carry) on one's person, to (take) with one,"
场所,chang3 suo3,"location, place,"
奉献,feng4 xian4,"to consecrate, to dedicate, to devote,"
培训,pei2 xun4,"to cultivate, to train, to groom, training,"
精心,jing1 xin1,"with utmost care, fine, meticulous, detailed,"
要命,yao4 ming4,"to cause sb's death, very, extremely, frightening, annoying,"
床单,chuang2 dan1,"bed sheet, CL:條|条,件,張|张,床[chuáng],"
固执,gu4 zhi2,"obstinate, stubborn,"
冷酷,leng3 ku4,"grim, unfeeling, callous,"
榜样,bang3 yang4,"example, model, CL:個|个[gè],"
功课,gong1 ke4,"homework, assignment, task, classwork, lesson, study, CL:門|门[mén],"
和谐,he2 xie2,"harmonious, harmony,"
勉强,mian3 qiang3,"to do with difficulty, to force sb to do sth, reluctant, barely enough,"
关照,guan1 zhao4,"to take care, to keep an eye on, to look after, to tell, to remind,"
纠正,jiu1 zheng4,"to correct, to make right,"
条款,tiao2 kuan3,"clause (of contract or law), CL:項|项[xiàng],"
包装,bao1 zhuang1,"to pack, to package, to wrap, packaging,"
损坏,sun3 huai4,"to damage, to injure,"
中断,zhong1 duan4,"to cut short, to break off, to discontinue, to interrupt,"
报答,bao4 da2,"to repay, to requite,"
担保,dan1 bao3,"to guarantee, to vouch for,"
番,Pan1,"foreign, ethnic groups from outside China, (when used after a verb) times or fold, classifier for the number of iterations of an action or deed etc,"
英勇,ying1 yong3,"bravery, gallant, valiant,"
认可,ren4 ke3,"to approve, approval, acknowledgment, OK,"
势力,shi4 li5,"power, (ability to) influence,"
占领,zhan4 ling3,"to occupy (a territory), to hold,"
资产,zi1 chan3,"property, assets,"
饥饿,ji1 e4,"hunger, starvation, famine,"
销毁,xiao1 hui3,"to destroy (by melting or burning), to obliterate,"
注视,zhu4 shi4,"to watch attentively, to gaze,"
财政,cai2 zheng4,"finances (public), financial,"
上级,shang4 ji2,"higher authorities, superiors, CL:個|个[gè],"
憋,bie1,"to choke, to stifle, to restrain, to hold back, to hold in (urine), to hold (one's breath),"
磕,ke1,"to tap, knock,"
缺陷,que1 xian4,"defect, flaw, physical defect,"
依旧,yi1 jiu4,"as before, still,"
制止,zhi4 zhi3,"to curb, to put a stop to, to stop, to check, to limit,"
拨打,bo1 da3,"to call, to dial,"
部位,bu4 wei4,"position, place,"
活该,huo2 gai1,"(coll.) serve sb right, deservedly, ought, should,"
恰当,qia4 dang4,"appropriate, suitable,"
言论,yan2 lun4,"speech, expression of opinion, public opinion,"
副作用,fu4 zuo4 yong4,"side effect,"
脂肪,zhi1 fang2,"body fat,"
华丽,hua2 li4,"gorgeous,"
埋葬,mai2 zang4,"to bury,"
塌,ta1,"collapse,"
占据,zhan4 ju4,"to occupy, to hold,"
疤,ba1,"scar,"
答复,da2 fu4,"to answer, to reply, Reply to: (in email header),"
岗位,gang3 wei4,"a post, a job,"
前提,qian2 ti2,"premise, precondition, prerequisite,"
大伙儿,da4 huo3 r5,"erhua variant of 大伙[dà huǒ],"
洞穴,dong4 xue2,"cave, cavern,"
光芒,guang1 mang2,"rays of light, brilliant rays, radiance,"
粉色,fen3 se4,"white, light pink, erotic, beautiful woman, powdered (with make-up),"
揭露,jie1 lu4,"to expose, to unmask, to ferret out, to disclose, disclosure,"
比方,bi3 fang5,"analogy, instance,"
近来,jin4 lai2,"recently, lately,"
屈服,qu1 fu2,"to surrender, to yield,"
膜,mo2,"membrane, film,"
是非,shi4 fei1,"right and wrong, quarrel,"
亦,yi4,"also,"
诈骗,zha4 pian4,"to defraud, to swindle, to blackmail,"
崭新,zhan3 xin1,"brand new,"
昂贵,ang2 gui4,"expensive, costly,"
彩票,cai3 piao4,"lottery ticket,"
履行,lv3 xing2,"to fulfill (one's obligations), to carry out (a task), to implement (an agreement), to perform,"
沉重,chen2 zhong4,"heavy, hard, serious, critical,"
化验,hua4 yan4,"laboratory test, chemical experiment, assay,"
回收,hui2 shou1,"to recycle, to reclaim, to retrieve, to recover, to recall (a defective product),"
家属,jia1 shu3,"family member, (family) dependent,"
僵硬,jiang1 ying4,"stiff, rigid,"
束缚,shu4 fu4,"to bind, to restrict, to tie, to commit, fetters,"
演习,yan3 xi2,"maneuver, exercise, practice, to maneuver,"
平凡,ping2 fan2,"commonplace, ordinary, mediocre,"
全力以赴,quan2 li4 yi3 fu4,"to do at all costs, to make an all-out effort,"
忧郁,you1 yu4,"sullen, depressed, melancholy, dejected,"
比喻,bi3 yu4,"to compare, to liken to, metaphor, analogy, figure of speech, figuratively,"
传单,chuan2 dan1,"leaflet, flier, pamphlet,"
贩卖,fan4 mai4,"to sell, to peddle, to traffic,"
黎明,li2 ming2,"dawn, daybreak,"
免得,mian3 de5,"so as not to, so as to avoid,"
泼,po1,"to splash, to spill, rough and coarse, brutish,"
瘫痪,tan1 huan4,"paralysis, be paralyzed (body, transportation, etc),"
顽固,wan2 gu4,"stubborn, obstinate,"
万分,wan4 fen1,"very much, extremely, one ten thousandth part,"
跟随,gen1 sui2,"to follow,"
罕见,han3 jian4,"rare, rarely seen,"
安宁,An1 ning2,"peaceful, tranquil, calm, composed, free from worry,"
兑现,dui4 xian4,"(of a cheque etc) to cash, to honor a commitment,"
起初,qi3 chu1,"originally, at first, at the outset,"
为难,wei2 nan2,"to feel embarrassed or awkward, to make things difficult (for someone), to find things difficult (to do or manage),"
当场,dang1 chang3,"at the scene, on the spot,"
当面,dang1 mian4,"to sb's face, in sb's presence,"
腐败,fu3 bai4,"corruption, to corrupt, to rot, rotten,"
毫米,hao2 mi3,"millimeter,"
方位,fang1 wei4,"direction, points of the compass, bearing, position, azimuth,"
分辨,fen1 bian4,"to distinguish, to differentiate, to resolve,"
片刻,pian4 ke4,"short period of time, a moment,"
往事,wang3 shi4,"past events, former happenings,"
油漆,you2 qi1,"oil paints, lacquer, to paint, CL:層|层[céng],"
恩怨,en1 yuan4,"(feeling of) resentment, (longstanding) grudge,"
功劳,gong1 lao2,"contribution, meritorious service, credit,"
溅,jian4,"splash,"
难得,nan2 de2,"seldom, rare, hard to come by,"
安置,an1 zhi4,"to find a place for, to help settle down, to arrange for, to get into bed, placement,"
信赖,xin4 lai4,"to trust, to have confidence in, to have faith in, to rely on,"
行政,xing2 zheng4,"administrative, executive (adjective),"
原告,yuan2 gao4,"complainant, plaintiff,"
跌,die1,"to drop, to fall, to tumble, Taiwan pr. [dié],"
机关,ji1 guan1,"mechanism, gear, machine-operated, office, agency, organ, organization, establishment, institution, body, strategum, scheme, intrigue, plot, trick, CL:個|个[gè],"
嫌,xian2,"to dislike, suspicion, resentment, enmity, abbr. for 嫌犯, criminal suspect,"
战役,zhan4 yi4,"military campaign,"
偿还,chang2 huan2,"to repay, to reimburse,"
殴打,ou1 da3,"to beat up, to come to blows, battery (law),"
权威,quan2 wei1,"authority, authoritative, power and prestige,"
作风,zuo4 feng1,"style, style of work, way,"
罢工,ba4 gong1,"a strike, to go on strike,"
智商,zhi4 shang1,"IQ (intelligence quotient),"
兜,dou1,"pocket, bag, to wrap up or hold in a bag, to move in a circle, to canvas or solicit, to take responsibility for, to disclose in detail, combat armor (old),"
迈,mai4,"take a step,"
便利,bian4 li4,"convenient, easy, to facilitate,"
强制,qiang2 zhi4,"to enforce, enforcement, forcibly, compulsory,"
免疫,mian3 yi4,"immunity (to disease),"
烹饪,peng1 ren4,"cooking, culinary arts,"
特色,te4 se4,"characteristic, distinguishing feature or quality,"
澄清,cheng2 qing1,"clear (of liquid), limpid, to clarify, to make sth clear, to be clear (about the facts),"
扩散,kuo4 san4,"to spread, to proliferate, to diffuse, spread, proliferation, diffusion,"
过失,guo4 shi1,"defect, fault,"
竭尽全力,jie2 jin4 quan2 li4,"to spare no effort (idiom); to do one's utmost,"
眼下,yan3 xia4,"now, at present, subocular (medicine),"
依据,yi1 ju4,"according to, basis, foundation,"
预期,yu4 qi1,"to expect, to anticipate,"
拧,ning2,"to pinch, wring,"
图案,tu2 an4,"design, pattern,"
规划,gui1 hua4,"to plan (how to do sth), planning, plan, program,"
后代,hou4 dai4,"posterity, later periods, later ages, later generations,"
卡通,ka3 tong1,"cartoon,"
孔,Kong3,"hole, CL:個|个[gè], classifier for cave dwellings,"
拿手,na2 shou3,"expert in, good at,"
航行,hang2 xing2,"to sail, to fly, to navigate,"
色彩,se4 cai3,"tint, coloring, coloration, character,"
支撑,zhi1 cheng1,"to prop up, to support, strut, brace,"
淋,lin2,"to drain, to drench, to drip, diseases of the bladder,"
伴随,ban4 sui2,"to accompany, to follow, to occur together with, concomitant,"
同胞,tong2 bao1,"born of the same parents, sibling, fellow citizen, compatriot,"
占有,zhan4 you3,"to have, to own, to hold, to possess,"
沼泽,zhao3 ze2,"marsh, swamp, wetlands, glade,"
案例,an4 li4,"case (law), CL:個|个[gè],"
导航,dao3 hang2,"navigation,"
恼火,nao3 huo3,"to get angry, irritated, to annoy, to aggravate, annoying,"
体面,ti3 mian4,"dignity, face (as in ""losing face""), honorable, creditable, pretty,"
折腾,zhe1 teng5,"to toss from side to side (e.g. sleeplessly), to repeat sth over and over again, to torment sb, to play crazy,"
珍珠,zhen1 zhu1,"pearl, CL:顆|颗[kē],"
临床,lin2 chuang2,"clinical,"
探望,tan4 wang4,"to visit,"
外界,wai4 jie4,"the outside world, external,"
颇,Po1,"rather, quite, considerably (Taiwan pr. ), oblique, inclined, slanting,"
事态,shi4 tai4,"situation, existing state of affairs,"
准则,zhun3 ze2,"norm, standard, criterion,"
初步,chu1 bu4,"initial, preliminary, tentative,"
覆盖,fu4 gai4,"to cover,"
示范,shi4 fan4,"to demonstrate, to show how to do sth, demonstration, a model example,"
先前,xian1 qian2,"before, previously,"
边界,bian1 jie4,"boundary, border,"
挑剔,tiao1 ti5,"picky, fussy,"
飞翔,fei1 xiang2,"to fly,"
无赖,wu2 lai4,"hoodlum, rascal, rogue, rascally, scoundrelly,"
